Price,Area,Location,city
125000000,2904,Worli,Mumbai
80000000,1500,Breach Candy,Mumbai
28800000,1638,Wadala,Mumbai
30000000,1701,Wadala,Mumbai
45100000,2376,Wadala,Mumbai
39200000,2061,Wadala,Mumbai
25400000,1431,Wadala,Mumbai
15200000,1050,Kandivali West,Mumbai
20000000,1260,Andheri East,Mumbai
29000000,1404,Goregaon East,Mumbai
30000000,1200,Malad East,Mumbai
46500000,1413,Worli South Mumbai,Mumbai
33400000,2016,Andheri East,Mumbai
2035000,574,Asangaon,Mumbai
8500000,507,Thane,Mumbai
12500000,1151,Koparkhairane Station Road,Mumbai
6600000,550,Thane,Mumbai
6900000,565,Thane,Mumbai
6800000,547,Thane,Mumbai
6700000,556,Thane,Mumbai
3000000,950,Thane,Mumbai
4500000,600,Thane,Mumbai
5300000,600,Thane,Mumbai
3000000,600,Thane,Mumbai
4500000,800,Thane,Mumbai
5300000,275,Thane,Mumbai
10500000,1050,Koparkhairane Station Road,Mumbai
10000000,1155,Koparkhairane Station Road,Mumbai
16000000,1350,Sector 17 Ulwe,Mumbai
17000000,1760,Kopar Khairane Sector 19A,Mumbai
11700000,1650,Koper Khairane,Mumbai
7500000,725,Koparkhairane Station Road,Mumbai
23000000,1300,Kanjurmarg,Mumbai
3000000,950,Thane,Mumbai
4500000,600,Thane,Mumbai
5300000,600,Thane,Mumbai
3000000,600,Thane,Mumbai
4500000,800,Thane,Mumbai
5300000,275,Thane,Mumbai
3000000,275,Thane,Mumbai
2000000,275,Thane,Mumbai
2000000,275,Thane,Mumbai
5300000,275,Thane,Mumbai
5300000,275,Thane,Mumbai
4500000,1065,Thane,Mumbai
2000000,275,Thane,Mumbai
2000000,275,Thane,Mumbai
5300000,275,Thane,Mumbai
3000000,275,Thane,Mumbai
2000000,275,Thane,Mumbai
5300000,275,Thane,Mumbai
5300000,275,Thane,Mumbai
2000000,275,Thane,Mumbai
5300000,275,Thane,Mumbai
5300000,275,Thane,Mumbai
2000000,275,Thane,Mumbai
2000000,275,Thane,Mumbai
2000000,275,Thane,Mumbai
2000000,275,Thane,Mumbai
8500000,275,Thane,Mumbai
5300000,275,Thane,Mumbai
2000000,275,Thane,Mumbai
5300000,275,Thane,Mumbai
5300000,275,Thane,Mumbai
3000000,275,Thane,Mumbai
2000000,275,Thane,Mumbai
3000000,530,Thane,Mumbai
8800000,600,Kandivali West,Mumbai
17000000,1245,Eastern Express Highway Vikhroli,Mumbai
20700000,1257,Magathane,Mumbai
18000000,1175,Magathane,Mumbai
17500000,1053,Magathane,Mumbai
18500000,1052,Rawal Pada,Mumbai
3874000,730,Ambernath East,Mumbai
8500000,650,Dokali Pada,Mumbai
9600000,650,Magathane,Mumbai
10800000,650,Magathane,Mumbai
18500000,1050,Dattapada,Mumbai
21000000,1250,Dattapada,Mumbai
15000000,1050,Dattapada,Mumbai
21000000,1150,Magathane,Mumbai
30000000,1450,Magathane,Mumbai
30000000,1450,Magathane,Mumbai
27000000,1550,Magathane,Mumbai
22100000,1075,Magathane,Mumbai
22100000,1075,Magathane,Mumbai
8500000,650,Dokali Pada,Mumbai
9600000,650,Magathane,Mumbai
10800000,650,Magathane,Mumbai
18500000,1050,Dattapada,Mumbai
21000000,1250,Dattapada,Mumbai
15000000,1050,Dattapada,Mumbai
21000000,1150,Magathane,Mumbai
30000000,1450,Magathane,Mumbai
30000000,1450,Magathane,Mumbai
27000000,1550,Magathane,Mumbai
22100000,1075,Magathane,Mumbai
22100000,1075,Magathane,Mumbai
18500000,1350,Magathane,Mumbai
10500000,650,Magathane,Mumbai
16500000,1050,Dattapada,Mumbai
9600000,650,Magathane,Mumbai
28500000,1350,Dattapada,Mumbai
28000000,1650,Magathane,Mumbai
19000000,1050,Dattapada,Mumbai
